Latitude,Longitude,n,location_id
41.644589713,-87.61587983,0.0,1
41.64703697,-87.616646643,0.0,2
41.647039035,-87.616097797,0.6931471805599453,3
41.647180175,-87.544240586,0.0,4
41.647716475,-87.542810749,0.0,5
41.647922286,-87.613395072,0.0,6
41.648200221,-87.542519442,0.0,7
41.648588776,-87.539964437,0.0,8
41.649379004,-87.545929798,0.0,9
41.649568225,-87.542312446,0.0,10
41.649637299,-87.55931113,0.0,11
41.64965344,-87.545930115,0.0,12
41.64971081,-87.541099585,0.0,13
41.649727275,-87.541099383,0.0,14
41.649801855,-87.547165039,0.0,15
41.650843752,-87.537455948,0.0,16
41.650910321,-87.545925786,0.0,17
41.650926611,-87.542303145,0.0,18
41.650965029,-87.542302675,0.0,19
41.651054691,-87.535027409,0.0,20
41.651058583,-87.544734792,0.0,21
41.651068794,-87.537456837,0.6931471805599453,22
41.651250849,-87.547162057,0.0,23
41.651271699,-87.536243193,0.0,24
41.651280857,-87.544732081,0.0,25
41.651374048,-87.543516137,0.0,26
41.651431329,-87.527258234,1.6094379124341003,27
41.651807005,-87.619349065,0.0,28
41.651816919,-87.617413297,0.0,29
41.651835984,-87.613435654,0.6931471805599453,30
41.651851471,-87.611529095,0.0,31
41.652118695,-87.618719916,0.0,32
41.65221844,-87.618872496,0.0,33
41.652316802,-87.610027321,0.0,34
41.652457049,-87.617966055,0.0,35
41.652506444,-87.617965509,0.0,36
41.652575937,-87.61108557,0.0,37
41.652669344,-87.604146802,0.0,38
41.65268312,-87.545918832,0.0,39
41.652738921,-87.618720379,0.0,40
41.652770903,-87.54351371,0.0,41
41.652796032,-87.548383716,0.0,42
41.652801946,-87.6086241,0.0,43
41.65280258,-87.603519586,0.0,44
41.652938039,-87.607576057,0.0,45
41.653062253,-87.60249209,0.0,46
41.653127691,-87.545917076,0.0,47
41.653140374,-87.611379316,0.0,48
41.653199118,-87.544726979,0.0,49
41.653300926,-87.550788977,0.0,50
41.653393899,-87.617249467,0.6931471805599453,51
41.653425905,-87.604873764,0.0,52
41.653525966,-87.602047746,0.0,53
41.65357271,-87.602061854,0.0,54
41.653600305,-87.618224185,0.0,55
41.653601124,-87.618355907,0.0,56
41.65364899,-87.614590067,0.6931471805599453,57
41.653712894,-87.60209686,0.0,58
41.653736007,-87.595407587,0.0,59
41.653738545,-87.606139983,0.0,60
41.653759638,-87.602110968,0.0,61
41.653789719,-87.59908081,0.0,62
41.653794623,-87.59727311,0.6931471805599453,63
41.653997642,-87.605884583,0.6931471805599453,64
41.654012472,-87.602166656,0.0,65
41.654064566,-87.616096704,0.0,66
41.65407999,-87.605887316,0.0,67
41.654094008,-87.606801963,0.0,68
41.654285848,-87.605892318,0.6931471805599453,69
41.654296841,-87.617257762,0.0,70
41.654366255,-87.60385688,0.0,71
41.654448027,-87.606801643,0.0,72
