Latitude,Longitude,n,location_id
41.644589713,-87.61587983,1,1
41.645028623,-87.61497126,1,2
41.647039035,-87.616097797,1,3
41.64703943,-87.614403759,1,4
41.6474468,-87.617234833,1,5
41.647922286,-87.613395072,1,6
41.648929261,-87.615996334,1,7
41.648931657,-87.616380495,1,8
41.649187564,-87.546828568,1,9
41.649302491,-87.559311478,1,10
41.649365338,-87.544737149,1,11
41.650666302,-87.547161847,1,12
41.650819973,-87.547159978,1,13
41.650927018,-87.547162336,1,14
41.651042063,-87.54592784,1,15
41.651068794,-87.537456837,1,16
41.651072457,-87.547160567,1,17
41.651094257,-87.544734357,1,18
41.651206536,-87.54230338,1,19
41.651215151,-87.547158832,1,20
41.651236185,-87.537454776,1,21
41.651280627,-87.542302473,1,22
41.651431329,-87.527258234,19,23
41.651829134,-87.614972548,1,24
41.651834408,-87.613622285,1,25
41.65184905,-87.606355167,1,26
41.652083021,-87.61872031,2,27
41.652216333,-87.618974975,2,28
41.65221844,-87.618872496,1,29
41.652218599,-87.618898108,1,30
41.652316802,-87.610027321,1,31
41.652371958,-87.617963338,1,32
41.652566016,-87.618718631,1,33
41.652575937,-87.61108557,2,34
41.652699793,-87.547151757,1,35
41.652738921,-87.618720379,1,36
41.652757444,-87.547154715,1,37
41.652781271,-87.537457711,1,38
41.652844994,-87.543512805,1,39
41.652851047,-87.617775079,1,40
41.652880178,-87.610588186,1,41
41.652918149,-87.614016387,1,42
41.652924602,-87.545915891,1,43
41.652936139,-87.617777797,1,44
41.65294165,-87.617781395,1,45
41.65297682,-87.544726031,2,46
41.653034366,-87.545914554,1,47
41.653075957,-87.548383976,1,48
41.653078323,-87.602429702,1,49
41.653114374,-87.54838351,1,50
41.653163445,-87.544727414,1,51
41.653198024,-87.611382332,1,52
41.653229509,-87.54957134,3,53
41.653473042,-87.609293526,1,54
41.65364899,-87.614590067,1,55
41.653712894,-87.60209686,1,56
41.653734085,-87.59553568,1,57
41.653788831,-87.598941771,1,58
41.653793519,-87.597529266,1,59
41.653965752,-87.602156207,1,60
41.654012472,-87.602166656,1,61
41.654062894,-87.616268706,2,62
41.654064566,-87.616096704,1,63
41.654064862,-87.616144271,1,64
41.654255656,-87.617254559,1,65
41.654368837,-87.603831236,1,66
41.654373954,-87.60377263,1,67
41.654389164,-87.60357486,1,68
41.654419751,-87.596753699,1,69
41.654433702,-87.615880373,1,70
41.654466146,-87.536247719,1,71
41.654471992,-87.538677377,1,72
41.65449445,-87.605897289,1,73
41.654496696,-87.6075549,1,74
41.654499585,-87.615883301,1,75
41.654588002,-87.60680373,1,76
41.654588705,-87.610397101,1,77
41.65460159,-87.547146926,1,78
41.654612353,-87.543513168,3,79
41.654766107,-87.544722501,1,80
41.654779673,-87.542303571,1,81
41.654834273,-87.607558429,1,82
41.654842326,-87.596745225,2,83
41.654884626,-87.605106157,1,84
41.6548919,-87.607557782,1,85
41.654930318,-87.60755735,1,86
41.654980473,-87.548375489,1,87
41.6549986,-87.602309192,4,88
41.655003274,-87.613923661,1,89
41.655003571,-87.613971228,1,90
41.655003663,-87.613985864,1,91
41.655066103,-87.609506219,1,92
41.655125865,-87.553203961,1,93
41.655131692,-87.605118011,1,94
41.655277072,-87.597351372,1,95
41.655278619,-87.602324322,1,96
41.655344693,-87.596768776,1,97
41.655385457,-87.613161935,3,98
41.655514777,-87.616728311,1,99
41.655619243,-87.61631731,1,100
41.655619426,-87.616346583,1,101
41.655619517,-87.616361219,2,102
41.655619745,-87.61639781,1,103
41.655621176,-87.617067447,1,104
